smiles,drug,END,EAR,REP,HEP,BLO,REN,EYE,IMM,INF,GAS,NER,SKI,MET,MUS,RES,VAS,CAR,PSY
CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,SIDER1012,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Nc1ccc2c(c1)c(-c1ccccc1)[n+](CCCCCCc1cnnn1CCNc1c3c(nc4ccccc14)CCCC3)c1cc(N)ccc21,3;8-diamino-6-phenyl-5-[6-[1-[2-[(1;2;3;4-tetrahydro-9-acridinyl)amino]ethyl]-1h-1;2;3-triazol-5-yl]hexyl]-phenanthridinium,,,0.0,,,,,0.0,,,,,,,0.0,,,0.0
O=P(O)(O)OP(=O)(O)O,ferric pyrophosphate,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CC[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,hydroquinine,0.0,0.0,0.0,,,,,0.0,,,,,,0.0,,,,
Cc1[nH]cnc1CN1CCc2c(c3ccccc3n2C)C1=O,SIDER262,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CN1CCC(Nc2nc(Nc3ccc(Oc4ccccc4)cc3)c3c(=O)[nH]cc(Br)c3n2)CC1,denfivontinib,,,,,0.0,0.0,,,,,0.0,0.0,,,,0.0,0.0,0.0
CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCNC(C)=O)C(=O)C(C)(C)O2,n-{2-[6-(2;4-diamino-6-ethylpyrimidin-5-yl)-2;2-dimethyl-3-oxo-2;3-dihydro-4h-1;4-benzoxazin-4-yl]ethyl}acetamide,,,,0.0,0.0,,,,,,,,,0.0,,,,0.0
COc1cc(Nc2nccc(Nc3ccc4c(C)n[nH]c4c3)n2)cc(OC)c1OC,n~4~-(3-methyl-1h-indazol-6-yl)-n~2~-(3;4;5-trimethoxyphenyl)pyrimidine-2;4-diamine,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,
Cc1c(NC(=O)OC[C@@H]2COCCN2)cn2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c12,bms-599626,,,,,,,,,,0.0,0.0,,,,0.0,0.0,,
C=CC(=O)Nc1cccc(C)c1Nc1ncc2cc(-c3c(Cl)c(OC)cc(OC)c3Cl)ccc2n1,blu-9931,,,,0.0,,,,,,,,,,,,0.0,,
COc1ccc2c(O[C@@H]3C[C@H]4C(=O)N[C@]5(P(=O)(O)Cc6c(F)cccc6F)C[C@H]5CCCCCCC[C@H](NC(=O)OC5CCCC5)C(=O)N4C3)cc(-c3csc(NC(C)C)n3)nc2c1Cl,gs-9256,,,,,0.0,,,,0.0,,,0.0,0.0,,,0.0,,0.0
C[C@@H](c1ccc(-c2ccccc2)c(F)c1)c1cc(NC(=N)N2CCOCC2)on1,rimacalib,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
CCOc1ccn(-c2ccc(F)cc2)c(=O)c1C(=O)Nc1ccc(Oc2ccnc(N)c2Cl)c(F)c1,bms-777607,,,0.0,0.0,,,,0.0,0.0,,,0.0,,,,0.0,,0.0
CN(Cc1cn(C)c2ccccc12)C(=O)/C=C/c1cnc2c(c1)CCC(=O)N2,indole naphthyridinone,,0.0,,,,,0.0,0.0,0.0,,0.0,,,,,0.0,,0.0
CC(C)=CCN1Cc2c(Cl)ccc3[nH]c(=S)n(c23)C[C@@H]1C,tivirapine,0.0,,,,0.0,,,,,0.0,,,,0.0,0.0,0.0,,0.0
NCCc1cnc(S)n1[C@H]1COc2c(F)cc(F)cc2C1,etamicastat,,,0.0,,,,,,,,0.0,,,,0.0,,,
Cc1ccc(S(=O)(=O)NC(=O)N[C@H]2[C@H]3CC[C@@](C)([C@H]2O)C3(C)C)cc1,glibornuride,,,0.0,,0.0,,0.0,,0.0,1.0,1.0,,1.0,,,,,
CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1,sns-032,0.0,,,0.0,,,,,,,,,0.0,,,0.0,,
CC(C)C(=O)OC[C@@]1(N=[N+]=[N-])O[C@@H](n2ccc(N)nc2=O)[C@H](OC(=O)C(C)C)[C@@H]1OC(=O)C(C)C,balapiravir,,,,,,,,,,,,0.0,,,,,,0.0
CC(=O)/N=c1/[nH]c(C)c(-c2ccc(Cl)c(S(=O)(=O)NCCO)c2)s1,n-(5-{4-chloro-3-[(2-hydroxyethyl)sulfamoyl]phenyl}-4-methyl-1;3-thiazol-2-yl)acetamide,0.0,0.0,,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,,0.0,
Nc1nc(=O)n([C@@H]2C=C[C@H](CO)O2)cc1F,elvucitabine,,,,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0
O=C(O)C1CSCN1,timonacic,,,,0.0,,0.0,,,0.0,,,,0.0,,,,0.0,0.0
c1ccc2cc(COC3CCNCC3)ccc2c1,litoxetine,,,,,,0.0,,,,,,,,,,,0.0,
CNNCc1ccc(C(=O)NC(C)C)cc1,SIDER993,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CN(C)N(C)C(=O)[C@@]1(Cc2ccccc2)CCCN(C(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)C(C)(C)N)C1,anamorelin,0.0,,0.0,,0.0,,,,0.0,,,,0.0,,,,0.0,
Cn1c(=O)[nH]c2c(=O)[nH]c(=O)[nH]c21,9-methyl uric acid,,0.0,0.0,,0.0,0.0,,,,0.0,,,0.0,,,0.0,,
C[C@H]1CC(CN)(CC(=O)O)C[C@@H]1C,atagabalin,,,,,0.0,,,,,,,0.0,,,0.0,0.0,0.0,0.0
NCc1[nH]cc(CCC(=O)O)c1CC(=O)O,porphobilinogen,0.0,,,0.0,,,,,0.0,,0.0,,,,,0.0,,
COc1cc(/C=C2\CCCN([C@@H](C)c3ccc(F)cc3)C2=O)ccc1-n1cnc(C)c1,e-2012,,,,,,,,0.0,,,,,,0.0,,0.0,,
O/N=c1\cc(-c2cc3sccc3cn2)oc2ccc(CCCN3CCOCC3)cc12,foliglurax,,,0.0,,,0.0,,,,,0.0,0.0,,0.0,,,0.0,
NC(=O)c1ccccc1Nc1ccnc(Nc2cccc(O)c2)n1,2-({2-[(3-hydroxyphenyl)amino]pyrimidin-4-yl}amino)benzamide,0.0,,,,0.0,0.0,,,,,,0.0,0.0,,,0.0,,
Cc1ccc(C(=O)Oc2ccc(C(O)CNC(C)(C)C)cc2OC(=O)c2ccc(C)cc2)cc1,bitolterol mesylate,,1.0,0.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CN(Cc1cc2ccccc2n1C)C(=O)/C=C/c1ccc(N)nc1,3-(6-aminopyridin-3-yl)-n-methyl-n-[(1-methyl-1h-indol-2-yl)methyl]acrylamide,,,,0.0,,,,,,0.0,,0.0,,,,0.0,,0.0
CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,SIDER360,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
O=C1OC(CN2CCOCC2)CN1N=Cc1ccc([N+](=O)[O-])o1,furaltadone,,,,1.0,,,,1.0,,,,1.0,,,,,,
O=P(O)(O)C(c1ccccc1)P(=O)(O)O,ru78783,,,0.0,,,,,,0.0,,,0.0,0.0,,,0.0,0.0,
CCN(CC)S(=O)(=O)c1ccc(Cl)c(C(=O)Nc2sc3c(c2C#N)CCC3)c1,2-chloro-n-(3-cyano-5;6-dihydro-4h-cyclopenta[b]thiophen-2-yl)-5-diethylsulfamoyl-benzamide,0.0,,,0.0,,,,0.0,,,,,0.0,0.0,,,,0.0
C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(n3cnc4ccccc43)=CC[C@@H]12,galeterone,,0.0,,,,,,,0.0,,,,,,,,0.0,
CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC(O)CO)OC(=O)CCCCCCCCCCCCCCC,1;2-dipalmitoyl-phosphatidyl-glycerole,,,,,0.0,,,,,,0.0,,,,,0.0,0.0,0.0
C[N+](C)(C)CCOP(=O)(O)OCCCCCCCCCCCCCCCCCCc1ccc([131I])cc1,iopofosine i-131,0.0,,,,0.0,,,,,,0.0,0.0,,,0.0,0.0,0.0,
Cc1nc(C)c2c(n1)N(Cc1ccc(-c3ccccc3-c3nnn[nH]3)cc1)C(=O)CC2,tasosartan,,0.0,,,0.0,0.0,,,,,,,0.0,0.0,,,0.0,0.0
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc(F)c(C)c3c1c2[C@@H](N)CC3,exatecan,,,0.0,,0.0,,,,,0.0,0.0,0.0,,,,,,
COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12,SIDER1180,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
CC(CC=O)CCCC(C)(C)O,hydroxycitronellal,,,,,0.0,,,0.0,,,,,,0.0,,,,0.0
Cl[Mn]Cl,manganese chloride,1.0,,,1.0,,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
CN1C(=O)C(F)=C[C@]2(C)[C@H]3CC[C@]4(C)[C@@H](C(=O)NCc5nc6cccnc6[nH]5)CC[C@H]4[C@@H]3CC[C@@H]12,mk-0773,,0.0,,,0.0,0.0,,,,,0.0,,,,,0.0,0.0,
NCC(O)c1ccc(O)cc1,octopamine,,,0.0,,,,,,,,,,,0.0,0.0,,0.0,0.0
COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)O)cc1OC,tranilast,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,1.0
Cc1cc2ncc(C(=O)NCC(C)(C)NCC(=O)N3CCC[C@H]3C#N)cn2n1,anagliptin,,,0.0,,,,,0.0,,0.0,0.0,,,,0.0,0.0,,
NC(=O)N/N=C1\C=Cc2ccccc2C1=O,naftazone,0.0,,,,0.0,,,0.0,,,,,,,,,,
O=C(O)c1cc(F)c2nc(N3[C@@H]4CC[C@H]3C[C@@H](OCc3c(-c5ccccc5OC(F)(F)F)noc3C3CC3)C4)sc2c1,tropifexor,,,,0.0,0.0,,0.0,,,0.0,,,,0.0,,,,
O=CNC1CCCCC1,cyclohexylformamide,,,0.0,,,0.0,,,,,,,,0.0,0.0,,0.0,
CN1C(=O)COc2c(C(=O)NC3CN4CCC3CC4)cc(Cl)cc21,azasetron,0.0,,,0.0,,,,,,,,,,,0.0,,,
Nc1nc(CC(=O)Nc2ccc(CCNC[C@H](O)c3ccccc3)cc2)cs1,SIDER325,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
O=C([C@@H](O)CO)N1CC=C(c2c(F)cc(N3C[C@H](COc4ccon4)OC3=O)cc2F)CC1,posizolid,,0.0,,,0.0,,,0.0,0.0,,,,,,,,,0.0
Cc1cc(-c2nc(C(=O)Nc3cc4oc(N5CCOCC5)nc4nc3N3CC[C@@H](O)C3)co2)ccn1,emavusertib,,,,,,,,,,,,,,0.0,,,,
O=C1c2cc3nnn(CCc4cccc(F)c4)c(=O)c3cc2OCN1C1CC1,tulrampator,,,,,,0.0,,,,0.0,,0.0,0.0,,,,0.0,
CCCCCC(O)C=CC1C(O)CC(=O)C1CC=CCCCC(=O)O,SIDER31,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OC[C@H]1O[C@@H](S[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O,thiodigalactoside,,,,,0.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,
C[C@@H]([C@H](N)C(=O)N[C@H](C(=O)O)[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H]1O)[C@H](O)c1ccc(O)cn1,nikkomycin z,0.0,,0.0,0.0,,,,,0.0,,,,,,,0.0,,0.0
C[C@@H]1CN(CC(=O)N2CC(C)(C)c3nc(CO)c(Cc4ccc(F)cc4)cc32)[C@@H](CN2CCOC[C@H]2C)CN1,tolinapant,,,0.0,0.0,,0.0,,,,,,,,,,,,
CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,n-alkyl dimethyl benzyl ammonium chloride (c12-c18),,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
CCCC(=O)OCOC(=O)C(C)(C)C,an-9,,,,,0.0,,,,0.0,,,,,,,,,
CCOC(=O)Cn1nc(C(F)(F)F)cc1-c1ccc(-c2cccc(S(C)(=O)=O)c2)cc1,rovazolac,,0.0,,0.0,0.0,,,,0.0,,,0.0,,,,0.0,,0.0
O=C(O)c1ccc(-c2ccccc2OC(F)(F)F)o1,5-[2-(trifluoromethoxy)phenyl]-2-furoic acid,0.0,,,0.0,,0.0,,0.0,,,,,0.0,,,,0.0,0.0
O=c1c(-c2ccccc2)coc2ccccc12,isoflavone,,0.0,,0.0,0.0,,,,0.0,,,,,,,,,
N=C(N)c1ccc2cc(C(=O)Nc3ccc(CN)cc3)ccc2c1,6-[n-(4-(aminomethyl)phenyl)carbamyl]-2-naphthalenecarboxamidine,,,0.0,,,,0.0,,,,,,0.0,,,,,0.0
OCCOc1ccc(Cl)cc1,chlorophetanol,,,,,,,,0.0,0.0,,,0.0,,,,,0.0,
Oc1ccc(OCc2ccccc2)cc1,SIDER1370,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Cc1ccnc(NC(=O)C(C)c2cccc(C(=O)c3ccccc3)c2)c1,piketoprofen,,,,,,,,,,,,1.0,,,,,,
CC(=O)Oc1cc(C)cc2c1C1=C(CCC(C)C1)C(C)(C)O2,pirnabine,,,0.0,0.0,0.0,,,,,,,0.0,0.0,,,0.0,0.0,
COc1ccc(NCCNC(=O)[C@H](CC2CCCCC2)Nc2nc3ccccc3o2)cc1,n~2~-1;3-benzoxazol-2-yl-3-cyclohexyl-n-{2-[(4-methoxyphenyl)amino]ethyl}-l-alaninamide,,,,,,0.0,,,,0.0,,,,,,0.0,0.0,0.0
CC[C@@H](C)[C@H](N)C(=O)O,l-alloisoleucine,,,,,0.0,,0.0,,,,,,0.0,,0.0,,0.0,
CC[C@H](C)[C@H](N)C(=O)O,isoleucine,,,,,0.0,0.0,0.0,,0.0,,,,,0.0,,,,0.0
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,quercetin,,,,,,0.0,,,0.0,,,0.0,0.0,,,0.0,0.0,0.0
O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,kaempherol,,,,,0.0,0.0,,,,0.0,,,0.0,,,,0.0,0.0
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)cc1F,5-fluoro-2'-deoxyuridine-5'-monophosphate,,0.0,,,,,,0.0,,,,0.0,0.0,0.0,,,,
CCCCC(O)CO,"1,2-hexanediol",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC[C@@H](C)C(=O)O,2-methylbutanoic acid,,,,,0.0,0.0,,,0.0,,,0.0,,,,,0.0,
C[C@]12CC[C@H](O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,5-alpha-androstane-3-beta;17beta-diol,0.0,0.0,,0.0,0.0,,,,0.0,,,,,,0.0,0.0,,
CCCCCCCCCCC(=O)O,undecanoic acid,,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,,,,,
CC(C)OC(=O)C1=CN(C(=O)c2ccc(F)c(F)c2)CC(C)(C)c2c1[nH]c1ccccc21,turofexorate isopropyl,0.0,,,0.0,0.0,,,0.0,0.0,,0.0,,,0.0,,0.0,,
CN1CC[C@@H](c2c(O)cc(O)c3c(=O)cc(-c4ccc(C(F)(F)F)cc4Cl)oc23)[C@@H]1CO,voruciclib,,,,0.0,0.0,,,,0.0,,,0.0,,,,0.0,,
CCCCNC(=O)c1ccc(Cl)cc1O,buclosamide,,,,,,,,,,,,1.0,,,,,,
N#Cc1c(NC(=O)c2ccccc2F)sc2c1CCCC2,n-(3-cyano-4;5;6;7-tetrahydro-1-benzothien-2-yl)-2-fluorobenzamide,0.0,,,,0.0,,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,
Nc1nc2c([nH]c(=O)n2[C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1,8-hydroxy-2'-deoxyguanosine,0.0,0.0,,,0.0,0.0,,,0.0,,,,,,0.0,0.0,0.0,
COc1ccc(C2CNC(=O)C2)cc1OC1CCCC1,rolipram,,,0.0,0.0,,0.0,0.0,,,,,0.0,,,,,0.0,0.0
NC(=O)[C@@H]1C[C@@]2(NC(=O)NC2=O)c2cc(F)ccc2O1,(s;r)-fidarestat,,,0.0,0.0,,0.0,,0.0,0.0,,,,,,0.0,0.0,,
CC(=O)C=O,pyruvaldehyde,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,,0.0,,0.0,,
CCCCCCCCCC[N+](C)(C)[O-],capric dimethyl amine oxide,,,,0.0,,,,,0.0,,,,,0.0,,0.0,,
CCCCNc1ccc(C(=O)OCCN(C)C)cc1,SIDER1100,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Nc1nc(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I,ibacitabine,,,0.0,0.0,,,,,,0.0,,0.0,,,,0.0,,
O=C(O)CCCC[C@@H]1CCSS1,lipoic acid,,,,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,
CCCC(=O)N1CCC[C@H]1C(=O)NCc1ccc(C(=N)N)cc1,1-butanoyl-n-(4-carbamimidoylbenzyl)-l-prolinamide,0.0,,,,0.0,0.0,,,,,,,,,,,,0.0
CN(CC(=O)O)C(=N)NP(=O)(O)O,phosphocreatine,,,0.0,0.0,,,,,,,,,,,,,,0.0
CO[C@H]1O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]1O,methyl beta-l-fucopyranoside,,0.0,,,0.0,,,,0.0,,,0.0,,,,0.0,,
COC(=O)c1ccc(NC(=O)NC[C@H]2CC[C@@H](C(=O)N3CCC[C@H]3CN)N2)cc1,methyl 4-{[({[(2r;5s)-5-{[(2s)-2-(aminomethyl)pyrrolidin-1-yl]carbonyl}pyrrolidin-2-yl]methyl}amino)carbonyl]amino}benzoate,,,,,0.0,,,0.0,,0.0,,,,,,0.0,,
Cc1ccccc1-c1cc(NCc2ccc[n+]([O-])c2)n2ncc(Br)c2n1,3-((3-bromo-5-o-tolylpyrazolo[1;5-a]pyrimidin-7-ylamino)methyl)pyridine 1-oxide,,0.0,,0.0,0.0,0.0,,,,,0.0,,,,,0.0,,0.0
CC(=O)c1ccc(NC(=O)c2cn[nH]c2-c2cc(Cl)c(O)cc2O)cc1,n-(4-acetylphenyl)-5-(5-chloro-2;4-dihydroxyphenyl)-1h-pyrazole-4-carboxamide,,0.0,,,,0.0,0.0,,,,,,0.0,0.0,,,,
CN1CCN(c2ccc(OC(F)(F)F)c(Nc3ncc4c(n3)-c3c(c(C(N)=O)nn3CCO)CC4)c2)CC1,onvansertib,,0.0,0.0,,,0.0,,,,,,,0.0,,,,,0.0
O=C(O)[C@H]1OC=C[C@@H](O)[C@@H]1O,SIDER39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
CC(C)[C@H](CO)Nc1nc(Nc2ccc(C(=O)O)c(Cl)c2)c2ncn(C(C)C)c2n1,purvalanol,,,,0.0,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
O=C1NCc2c1c1c3ccccc3[nH]c1c1[nH]c3ccccc3c21,6;7;12;13-tetrahydro-5h-indolo[2;3-a]pyrrolo[3;4-c]carbazol-5-one,,,0.0,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0
O=C(O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc([131I])c(=O)c([131I])c-2oc2c([131I])c(O)c([131I])cc12,"rose bengal sodium, i-131",,,,,,,1.0,,,,,1.0,,,,,,
O=C(CN(CCO)S(=O)(=O)c1ccc(-c2ccccc2)cc1)NO,n~2~-(biphenyl-4-ylsulfonyl)-n-hydroxy-n~2~-(2-hydroxyethyl)glycinamide,,,,,,,,,,,0.0,0.0,,,,0.0,,0.0
O=C(c1nn(-c2ccc(CN3CCOCC3)cc2)c2c1CS(=O)(=O)c1c(F)cccc1-2)N1CCOCC1,roginolisib,,,,,,,,,,0.0,,,,,,,,
COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc(-c2ccc3c(c2)O[C@@H](c2ccccc2)n2c-3cc3cc(-c4c[nH]c([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)C(C)C)n4)ccc32)c[nH]1)C(C)C,elbasvir,,0.0,,,,,,,,,,0.0,0.0,,,0.0,,
CC(C)(C)c1cc(NC(=O)Nc2ccc(Cl)cc2)n(-c2ccccc2)n1,n-[(3z)-5-tert-butyl-2-phenyl-1;2-dihydro-3h-pyrazol-3-ylidene]-n'-(4-chlorophenyl)urea,,0.0,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0
Cc1cc(N/C(=N\C2CCCCC2)Nc2nccs2)c2ccccc2n1,timegadine,,1.0,,,1.0,1.0,,1.0,,1.0,1.0,1.0,,,1.0,,,1.0
C=C(OP(=O)(O)O)C(=O)O,phosphoenolpyruvate,,,,,0.0,,,,,0.0,,0.0,0.0,,,,0.0,
CCCCCCCc1cc(O)c2ccccc2[n+]1[O-],2-heptyl-4-hydroxyquinoline n-oxide,0.0,,,,,,,,0.0,0.0,,,,,,,,
C[C@@H]1C(=O)O[C@H]2[C@H](O)[C@@]34[C@H]5C[C@@H](C(C)(C)C)[C@]36[C@@H](OC(=O)[C@@H]6O)O[C@@]4(C(=O)O5)[C@@]12O,ginkgolide-b,,,,0.0,,,,,,,0.0,0.0,,0.0,,,0.0,0.0
CCCCCCCCCCC[C@@H](O)CC(=O)O,(r)-3-hydroxytetradecanoic acid,,,0.0,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,,,0.0,0.0
N[C@@H](CSS(=O)(=O)O)C(=O)O,s-sulphocysteine,,0.0,,,0.0,,,,,,0.0,,,0.0,0.0,0.0,,0.0
CCOC(=O)[C@@H](N)Cc1ccc(-c2cc(O[C@H](c3ccc(Cl)cc3-n3ccc(C)n3)C(F)(F)F)nc(N)n2)cc1,telotristat etiprate,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Cc1nc(C)c(-c2ccnc(Nc3ccc(N(C)C)cc3)n2)s1,n-[4-(2;4-dimethyl-thiazol-5-yl)-pyrimidin-2-yl]-n';n'-dimethyl-benzene-1;4-diamine,,,,,,,,0.0,0.0,,,,,,0.0,,,0.0
CP(=O)(O)C1=CCNCC1,tpmpa,,,,,0.0,0.0,,,,0.0,0.0,,0.0,,,0.0,,0.0
c1ccc2c(NCCCCCCCCNc3c4c(nc5ccccc35)CCCC4)ccnc2c1,tacrine(8)-4-aminoquinoline,0.0,,0.0,,,,,0.0,,,,,0.0,0.0,,,,0.0
CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)C(F)(F)F,arachidonyltrifluoromethane,,,0.0,,,,,,,0.0,,0.0,,,,0.0,,0.0
